Kontext,Frage,Antwort,ModelAntwort,ManEval,AutoEvalScore,AutoEvalExplan
"Das schweizerische Arbeitsgesetz schützt die Rechte der Lehrlinge in Bezug auf die Arbeitszeit. Es verbietet Nacht- und Sonntagsarbeit für Lehrlinge, es sei denn, es liegt eine Ausnahmegenehmigung vor.",Dürfen Lehrlinge in der Schweiz nachts und sonntags arbeiten?,"Das schweizerische Arbeitsgesetz schützt die Rechte der Lehrlinge in Bezug auf die Arbeitszeit. Es verbietet Nacht- und Sonntagsarbeit für Lehrlinge, es sei denn, es liegt eine Ausnahmegenehmigung vor.",Die Beschäftigung Jugendlicher ab 16 Jahren an Sonntagen kann bewilligt werden,1,6.5,"The response partially answers the question, mentioning that employment of young people aged 16 and above on Sundays can be approved. However, it does not address the aspect of night work and lacks details on the specific conditions and regulations for apprentices in Switzerland. The answer could be more helpful and relevant by providing information on both night work and Sunday work for apprentices, as well as any relevant legal provisions or exceptions."
"In der Berufsfachschule werden der berufskundliche, der allgemeinbildende Unterricht sowie Sport vermittelt. Lernende, die in einzelnen Fächern Schwierigkeiten haben, können zusätzlich zum schulischen Unterricht Stützkurse besuchen. Im Einvernehmen mit dem Lehrbetrieb kann die Berufsfachschule den Besuch von Stützkursen auch anordnen. Für interessierte Lernende, die die Voraussetzungen im Lehrbetrieb und in der Berufsfachschule erfüllen, bietet die Berufsfachschule auch Freikurse an. Die lernende Person muss den Besuch von Freikursen mit dem Lehrbetrieb absprechen.","Was können Lernende tun, wenn sie in einzelnen Fächern Schwierigkeiten haben? ", zusätzlich zum schulischen Unterricht Stützkurse besuchen ,"sich mit ihrer 
Deutschlehrerin/ihrem Deutschlehrer auszutauschen",0,5,"The response provided by the AI assistant is somewhat helpful and relevant, but it lacks detail and does not fully address the question. The answer suggests that learners should talk to their German teacher if they have difficulties in individual subjects, but it does not provide any other strategies or resources that learners can use to overcome their difficulties. Additionally, the answer seems to be specifically focused on German language learning, while the question is about difficulties in any subject. A more comprehensive answer would include various strategies and resources for learners to use when facing difficulties in any subject."
"Probleme in Berufsfachschule oder Lehrbetrieb Bei bedeutenden schulischen Problemen hat die Berufsfachschule unabhängig von der Volljährigkeit der lernenden Person die Pflicht, mit dem Lehrbetrieb (Lehrvertragspartner) Kontakt aufzunehmen. Für alle Beteiligten gilt, dass Probleme aus dem Lehrverhältnis dem zuständigen Berufsbildungsamt zu melden sind.",An wen müssen Probleme aus dem Lehrverhältnis gemeldet werden? , dem zuständigen Berufsbildungsamt ,Das Berufsbildungsamt,1,9,"The response provided by the AI assistant is helpful, relevant, and concise. It directly answers the question by identifying the appropriate authority to report problems related to the teaching relationship. However, it could have provided a bit more detail or context to make the answer more comprehensive."
Absenzen Ab dem 18. Altersjahr unterzeichnen Lernende die Entschuldigungen für ihre Absenzen selbst. Die Berufsbildnerin oder der Berufsbildner bleibt bei Schulversäumnissen je nach Weisung der Berufs-fachschule weiterhin zur Mitunterzeichnung der Entschuldigungen verpflichtet.,Wer bleibt bei Schulversäumnissen zur Mitunterzeichnung der Entschuldigungen verpflichtet? , Die Berufsbildnerin oder der Berufsbildner ,die gesetzliche Vertretung (meist die Eltern),0,10,"The answer provided is helpful, relevant, and precise. It directly addresses the question about who is responsible for co-signing excuse notes in case of school absences, stating that it is the legal guardian (usually the parents). The response is clear and concise, making it easy for the user to understand."
In der Schweiz sind die Arbeitszeiten für Lehrlinge gesetzlich geregelt. Lehrlinge dürfen nicht mehr als fünf Tage pro Woche und nicht mehr als neun Stunden pro Tag arbeiten. Die maximale wöchentliche Arbeitszeit beträgt 45 Stunden.,Was ist die maximale Arbeitszeit pro Woche für Lehrlinge in der Schweiz?,Die maximale wöchentliche Arbeitszeit beträgt 45 Stunden.,40 Stunden,0,8.5,"The response is helpful and relevant as it provides a direct answer to the question about the maximum working hours per week for apprentices in Switzerland. However, it could have been more detailed by providing information on any variations depending on the age of the apprentice or the industry they are working in."
"Der Lehrbetrieb bildet die lernende Person in der beruflichen Praxis aus. Zu diesem Zweck schliessen beide Parteien vor Beginn der beruflichen Grundbildung einen schriftlichen Lehrvertrag ab, der vom kantonalen Berufsbildungsamt genehmigt werden muss.",Welchen Vertrag schließen die Parteien vor Beginn der beruflichen Grundbildung ab? , einen schriftlichen Lehrvertrag ,Praktikumsvertrag,0,6,"The answer provided by the AI is partially correct, as it mentions a type of contract related to professional training. However, the more accurate and specific answer should be ""Ausbildungsvertrag"" (training contract) instead of ""Praktikumsvertrag"" (internship contract). The response could have been more helpful and relevant if it had provided the correct term and possibly a brief explanation of what an Ausbildungsvertrag entails."
"In der Schweiz ermöglicht die Berufsmaturitätsschule (BMS) den Zugang zu den Fachhochschulen. Es ist eine Ergänzung zur beruflichen Grundbildung und vermittelt zusätzliches, allgemeinbildendes Wissen. Lehrlinge haben die Möglichkeit, die BMS parallel zur Lehre zu besuchen.",Was ermöglicht die Berufsmaturitätsschule (BMS) in der Schweiz?,In der Schweiz ermöglicht die Berufsmaturitätsschule (BMS) den Zugang zu den Fachhochschulen.,"Zugang zu einer dem Beruf verwandten Studien richtung 
an einer Fachhochschule",1,9,"The response is helpful, relevant, and concise. It accurately answers the question by stating that the Berufsmaturitätsschule (BMS) in Switzerland allows access to a field-related course of study at a university of applied sciences. The only reason it does not receive a perfect score is that it could provide a bit more detail or context about the BMS system in Switzerland."
"Nachtarbeit 22.00 bis 06.00 Uhr Grundsätzlich nicht möglich, Ausnahmen bewilligt die kantonale Arbeitsmarktbehörde, sofern die Beschäftigung in der Nacht unentbehrlich ist. Art. 12 ArGV 5, Art. 31 Abs. 4 ArG In verschiedenen Berufen gibt es eine spezielle Regelung zur Nachtarbeit, diese finden Sie in der Verordnung des Eidg. Departements für Wirtschaft, Bildung und Forschung (WBF) über die Ausnahmen vom Verbot von Nacht- und Sonntagsarbeit während der beruflichen Grundbildung (SR 822.115.4, Link siehe weiter hinten). Nachtarbeit 23.00 bis 06.00 Uhr Grundsätzlich ausgeschlossen. Ausnahmen bedürfen der Bewilligung. Verschiedene Ausnahmen sind im Anhang zu ArGV 2 aufgelistet. Art. 16 ArG, Art. 17 Abs. 1 ArG Die Arbeitszeit während der Nacht darf sich auf max. 9 Stunden belaufen, sie muss mit Einschluss der Pausen in einem Zeitraum von 10 Stunden liegen. Art. 17a ArG, ArGV 2 Lohnzuschlag für vorübergehende Nachtarbeit (unter 25 Nächte pro Kalenderjahr) von 25%, Zeitzuschlag von 10% bei regelmässiger Nachtarbeit. Art. 17b ArG",Wie lange darf die Arbeitszeit während der Nacht maximal sein? , max. 9 Stunden ,9 Stunden,1,8.5,"The answer provided is helpful, relevant, and concise. It directly answers the question about the maximum duration of night-time work. However, it could be improved by providing a bit more context or specifying the country or region this rule applies to, as regulations may vary."
"In der Schweiz ist die Anmeldung zur Abschlussprüfung ein wichtiger Schritt für Lehrlinge. Die Anmeldung erfolgt in der Regel durch den Lehrbetrieb und muss innerhalb einer bestimmten Frist vor dem Prüfungstermin erfolgen. Die genauen Fristen und Verfahren können je nach Kanton und Beruf variieren. Es ist wichtig, dass Lehrlinge sicherstellen, dass ihre Anmeldung korrekt und rechtzeitig eingereicht wird.",Wer meldet Lehrlinge in der Schweiz zur Abschlussprüfung an?,Die Anmeldung erfolgt in der Regel durch den Lehrbetrieb.,1,0,4,"The response provided by the AI assistant is not helpful or relevant to the question asked. The user asked about who registers apprentices for the final exam in Switzerland, and the AI assistant simply provided a number '1' as the answer, which does not address the question. The answer lacks helpfulness, relevance, and detail."
"Was ist ausserdem zu berücksichtigen Berufliche Neuorientierung (www.berufsberatung.ch) Infolge der Lehrvertragsauflösung und vorausgesetzt, dass die gegebenen Umstände es erlauben, sucht die lernende Person einen neuen Ausbildungsbetrieb oder informiert sich über die Möglichkeiten der Ausbildung in einem anderen Beruf. Unfallversicherung Nach der Vertragsauflösung erlischt die obligatorische Unfallversicherung 31 Kalendertage nach dem letzten Arbeitstag (Datum, an welchem die Auflösung des Lehrvertrags in Kraft tritt). Wird innerhalb dieser Frist ein neuer Vertrag abgeschlossen, ist die Deckung beim neuen Arbeitgeber gewährleistet. Andernfalls verpflichtet das Bundesgesetz dazu, sich unverzüglich beim eigenen Krankenversicherer zu melden, um die Unfallversicherung zu aktivieren. Arbeitslosigkeit Besteht die Gefahr von Arbeitslosigkeit, melden sich die Lernenden bei der Arbeitslosenkasse der Wohngemeinde. Auskünfte und Beratung Bei allfälligen Fragen steht das Berufsbildungsamt den Vertragsparteien zur Verfügung.","An wen sollten sich Lernende wenden, wenn sie Gefahr von Arbeitslosigkeit haben? ", bei der Arbeitslosenkasse der Wohngemeinde. ,"Arbeitslosenkasse 
der Wohngemeinde",1,7.5,"The answer provided is helpful and relevant, as it directs the learner to the appropriate institutions (Arbeitslosenkasse and the Wohngemeinde) to seek assistance in case of potential unemployment. However, the response could be more detailed by explaining the role of these institutions and suggesting additional resources or steps the learner could take to prevent or mitigate the risk of unemployment."
