Kontext,Frage,Antwort,ModelAntwort,ManEval,AutoEvalScore,AutoEvalExplan
"Das schweizerische Arbeitsgesetz schützt die Rechte der Lehrlinge in Bezug auf die Arbeitszeit. Es verbietet Nacht- und Sonntagsarbeit für Lehrlinge, es sei denn, es liegt eine Ausnahmegenehmigung vor.",Dürfen Lehrlinge in der Schweiz nachts und sonntags arbeiten?,"Das schweizerische Arbeitsgesetz schützt die Rechte der Lehrlinge in Bezug auf die Arbeitszeit. Es verbietet Nacht- und Sonntagsarbeit für Lehrlinge, es sei denn, es liegt eine Ausnahmegenehmigung vor."," Nein, Lehrlinge in der Schweiz dürfen nicht nachts und sonntags arbeiten. Lernende ab dem vollendeten 16. Altersjahr dürfen höchstens 10 Nächte pro Jahr bis 1 Uhr arbeiten und an Tagen vor Besuchen der Berufsfachschule oder vor Besuchen von überbetrieblichen Kursen dürfen sie höchstens bis 20 Uhr arbeiten. Mindestens 12 Sonntage pro Jahr sind frei zu geben (exkl. Feriensonntage). Für Betriebe mit 2 Schliessungstagen unter der Woche ist mindestens ein Sonntag pro Quartal frei zu geben (exkl. Feriensonntage). Dauernde oder regelmässig wiederkehrende Sonntagsarbeit wird vom SECO, vorübergehende Sonntagsarbeit bis zu sechs Sonntagen pro Kalenderjahr von der kant",1,9.5,"The response is very helpful, relevant, and detailed. It provides specific information about the restrictions on night and Sunday work for apprentices in Switzerland, including age requirements, the number of nights and hours allowed, and the rules for Sunday work. The only minor improvement would be to clarify the abbreviations used (SECO and kant)."
"In der Berufsfachschule werden der berufskundliche, der allgemeinbildende Unterricht sowie Sport vermittelt. Lernende, die in einzelnen Fächern Schwierigkeiten haben, können zusätzlich zum schulischen Unterricht Stützkurse besuchen. Im Einvernehmen mit dem Lehrbetrieb kann die Berufsfachschule den Besuch von Stützkursen auch anordnen. Für interessierte Lernende, die die Voraussetzungen im Lehrbetrieb und in der Berufsfachschule erfüllen, bietet die Berufsfachschule auch Freikurse an. Die lernende Person muss den Besuch von Freikursen mit dem Lehrbetrieb absprechen.","Was können Lernende tun, wenn sie in einzelnen Fächern Schwierigkeiten haben? ", zusätzlich zum schulischen Unterricht Stützkurse besuchen , Lernende können zusätzlich zum schulischen Unterricht Stützkurse besuchen.,1,8.5,"The response is helpful, relevant, and directly addresses the question. It provides a practical solution for learners who are struggling in specific subjects. However, it could have included more options or suggestions to improve its level of detail."
"Probleme in Berufsfachschule oder Lehrbetrieb Bei bedeutenden schulischen Problemen hat die Berufsfachschule unabhängig von der Volljährigkeit der lernenden Person die Pflicht, mit dem Lehrbetrieb (Lehrvertragspartner) Kontakt aufzunehmen. Für alle Beteiligten gilt, dass Probleme aus dem Lehrverhältnis dem zuständigen Berufsbildungsamt zu melden sind.",An wen müssen Probleme aus dem Lehrverhältnis gemeldet werden? , dem zuständigen Berufsbildungsamt , Probleme aus dem Lehrverhältnis müssen an den Berufsinspektor resp. die Ausbildungsberaterin gemeldet werden.,1,10,"The response is helpful, relevant, and precise, as it directly answers the question by providing the appropriate parties to report problems in the Lehrverhältnis (apprenticeship relationship) to. The only minor improvement could be to provide a brief explanation of the roles of the Berufsinspektor and Ausbildungsberaterin for those who may not be familiar with these terms."
Absenzen Ab dem 18. Altersjahr unterzeichnen Lernende die Entschuldigungen für ihre Absenzen selbst. Die Berufsbildnerin oder der Berufsbildner bleibt bei Schulversäumnissen je nach Weisung der Berufs-fachschule weiterhin zur Mitunterzeichnung der Entschuldigungen verpflichtet.,Wer bleibt bei Schulversäumnissen zur Mitunterzeichnung der Entschuldigungen verpflichtet? , Die Berufsbildnerin oder der Berufsbildner ," Die Schule ist verpflichtet, den Berufsbildner/innen zu berichten, wenn die Schulleistungen einen Prüfungsmisserfolg befürchten lassen.",0,3,"The response provided by the AI assistant is not directly relevant to the question asked. The question is about who is obligated to co-sign excuse notes for missed school days, while the response discusses the school's obligation to report poor academic performance to vocational trainers. The answer does not address the specific query and therefore receives a low score for helpfulness, relevance, and level of detail."
In der Schweiz sind die Arbeitszeiten für Lehrlinge gesetzlich geregelt. Lehrlinge dürfen nicht mehr als fünf Tage pro Woche und nicht mehr als neun Stunden pro Tag arbeiten. Die maximale wöchentliche Arbeitszeit beträgt 45 Stunden.,Was ist die maximale Arbeitszeit pro Woche für Lehrlinge in der Schweiz?,Die maximale wöchentliche Arbeitszeit beträgt 45 Stunden., 40 Stunden pro Woche.,0,9.5,"The answer provided is helpful, relevant, and concise. It directly addresses the user's question about the maximum working hours per week for apprentices in Switzerland. However, it could be slightly improved by providing a source or additional context to support the information."
"Der Lehrbetrieb bildet die lernende Person in der beruflichen Praxis aus. Zu diesem Zweck schliessen beide Parteien vor Beginn der beruflichen Grundbildung einen schriftlichen Lehrvertrag ab, der vom kantonalen Berufsbildungsamt genehmigt werden muss.",Welchen Vertrag schließen die Parteien vor Beginn der beruflichen Grundbildung ab? , einen schriftlichen Lehrvertrag , Die Parteien schließen einen schriftlichen Lehrvertrag ab.,1,10,"The response is accurate, relevant, and directly answers the question. It provides the necessary information without any unnecessary details, making it a helpful and precise answer."
"In der Schweiz ermöglicht die Berufsmaturitätsschule (BMS) den Zugang zu den Fachhochschulen. Es ist eine Ergänzung zur beruflichen Grundbildung und vermittelt zusätzliches, allgemeinbildendes Wissen. Lehrlinge haben die Möglichkeit, die BMS parallel zur Lehre zu besuchen.",Was ermöglicht die Berufsmaturitätsschule (BMS) in der Schweiz?,In der Schweiz ermöglicht die Berufsmaturitätsschule (BMS) den Zugang zu den Fachhochschulen.," Die Berufsmaturitätsschule in der Schweiz ermöglicht es Inhaber/innen eines eidgenössischen Fähigkeitszeugnisses EFZ, die Aufnahmebedingungen erfüllen, die eidgenössische Berufsmaturitätsprüfung (EBMP) abzulegen und somit ein eidgenössisches Berufsmaturitätszeugnis zu erhalten. Mit diesem Zeugnis können sie prüfungsfrei an einer Fachhochschule studieren oder im erlernten Beruf mit erweiterten Kenntnissen arbeiten oder sich anderweitig weiterbilden.",1,10,"The response provided is very helpful, relevant, and detailed. It clearly explains the purpose of the Berufsmaturitätsschule in Switzerland, the requirements to take the eidgenössische Berufsmaturitätsprüfung, and the benefits of obtaining an eidgenössisches Berufsmaturitätszeugnis, such as being able to study at a Fachhochschule without taking an entrance exam or working in the learned profession with expanded knowledge."
"Nachtarbeit 22.00 bis 06.00 Uhr Grundsätzlich nicht möglich, Ausnahmen bewilligt die kantonale Arbeitsmarktbehörde, sofern die Beschäftigung in der Nacht unentbehrlich ist. Art. 12 ArGV 5, Art. 31 Abs. 4 ArG In verschiedenen Berufen gibt es eine spezielle Regelung zur Nachtarbeit, diese finden Sie in der Verordnung des Eidg. Departements für Wirtschaft, Bildung und Forschung (WBF) über die Ausnahmen vom Verbot von Nacht- und Sonntagsarbeit während der beruflichen Grundbildung (SR 822.115.4, Link siehe weiter hinten). Nachtarbeit 23.00 bis 06.00 Uhr Grundsätzlich ausgeschlossen. Ausnahmen bedürfen der Bewilligung. Verschiedene Ausnahmen sind im Anhang zu ArGV 2 aufgelistet. Art. 16 ArG, Art. 17 Abs. 1 ArG Die Arbeitszeit während der Nacht darf sich auf max. 9 Stunden belaufen, sie muss mit Einschluss der Pausen in einem Zeitraum von 10 Stunden liegen. Art. 17a ArG, ArGV 2 Lohnzuschlag für vorübergehende Nachtarbeit (unter 25 Nächte pro Kalenderjahr) von 25%, Zeitzuschlag von 10% bei regelmässiger Nachtarbeit. Art. 17b ArG",Wie lange darf die Arbeitszeit während der Nacht maximal sein? , max. 9 Stunden ," Die Arbeitszeit während der Nacht darf maximal 9 Stunden betragen, sie muss mit Einschluss der Pausen in einem Zeitraum von 10 Stunden liegen.",1,8.5,"The response is helpful, relevant, and provides a clear answer to the question. It specifies the maximum duration of night work (9 hours) and includes the requirement of incorporating breaks within a 10-hour period. The answer could be slightly improved by mentioning the specific country or region this rule applies to, as labor laws may vary."
"In der Schweiz ist die Anmeldung zur Abschlussprüfung ein wichtiger Schritt für Lehrlinge. Die Anmeldung erfolgt in der Regel durch den Lehrbetrieb und muss innerhalb einer bestimmten Frist vor dem Prüfungstermin erfolgen. Die genauen Fristen und Verfahren können je nach Kanton und Beruf variieren. Es ist wichtig, dass Lehrlinge sicherstellen, dass ihre Anmeldung korrekt und rechtzeitig eingereicht wird.",Wer meldet Lehrlinge in der Schweiz zur Abschlussprüfung an?,Die Anmeldung erfolgt in der Regel durch den Lehrbetrieb., Die kantonale Behörde meldet Lehrlinge in der Schweiz zur Abschlussprüfung an.,0,9,"The answer provided by the AI assistant is helpful, relevant, and concise. It directly answers the user's question about who registers apprentices for their final exams in Switzerland. The response is clear and to the point, providing the necessary information without any unnecessary details. The only minor improvement could be to specify which kantonale Behörde is responsible for the registration, but this might vary depending on the region. Overall, the AI assistant's performance is excellent."
"Was ist ausserdem zu berücksichtigen Berufliche Neuorientierung (www.berufsberatung.ch) Infolge der Lehrvertragsauflösung und vorausgesetzt, dass die gegebenen Umstände es erlauben, sucht die lernende Person einen neuen Ausbildungsbetrieb oder informiert sich über die Möglichkeiten der Ausbildung in einem anderen Beruf. Unfallversicherung Nach der Vertragsauflösung erlischt die obligatorische Unfallversicherung 31 Kalendertage nach dem letzten Arbeitstag (Datum, an welchem die Auflösung des Lehrvertrags in Kraft tritt). Wird innerhalb dieser Frist ein neuer Vertrag abgeschlossen, ist die Deckung beim neuen Arbeitgeber gewährleistet. Andernfalls verpflichtet das Bundesgesetz dazu, sich unverzüglich beim eigenen Krankenversicherer zu melden, um die Unfallversicherung zu aktivieren. Arbeitslosigkeit Besteht die Gefahr von Arbeitslosigkeit, melden sich die Lernenden bei der Arbeitslosenkasse der Wohngemeinde. Auskünfte und Beratung Bei allfälligen Fragen steht das Berufsbildungsamt den Vertragsparteien zur Verfügung.","An wen sollten sich Lernende wenden, wenn sie Gefahr von Arbeitslosigkeit haben? ", bei der Arbeitslosenkasse der Wohngemeinde. ," Lernende sollten sich bei der Arbeitslosenkasse der Wohngemeinde melden, wenn sie Gefahr von Arbeitslosigkeit haben.",1,9,"The response is helpful, relevant, and provides a clear answer to the question. It directly addresses the concern of the user by suggesting to contact the Arbeitslosenkasse der Wohngemeinde in case of potential unemployment. The answer could have been slightly more detailed by providing additional resources or steps to take, but overall, it is a high-quality response."
