Kontext,Frage,Antwort,ModelAntwort,ManEval,AutoEvalScore,AutoEvalExplan
"Das schweizerische Arbeitsgesetz schützt die Rechte der Lehrlinge in Bezug auf die Arbeitszeit. Es verbietet Nacht- und Sonntagsarbeit für Lehrlinge, es sei denn, es liegt eine Ausnahmegenehmigung vor.",Dürfen Lehrlinge in der Schweiz nachts und sonntags arbeiten?,"Das schweizerische Arbeitsgesetz schützt die Rechte der Lehrlinge in Bezug auf die Arbeitszeit. Es verbietet Nacht- und Sonntagsarbeit für Lehrlinge, es sei denn, es liegt eine Ausnahmegenehmigung vor.",5,0,3.0,"The response provided is not helpful or relevant to the question asked. The user asked about the regulations for apprentices working at night and on Sundays in Switzerland, but the AI assistant simply provided a number '5' without any context or explanation. A better response would have addressed the specific regulations and provided a clear answer to the question."
"In der Berufsfachschule werden der berufskundliche, der allgemeinbildende Unterricht sowie Sport vermittelt. Lernende, die in einzelnen Fächern Schwierigkeiten haben, können zusätzlich zum schulischen Unterricht Stützkurse besuchen. Im Einvernehmen mit dem Lehrbetrieb kann die Berufsfachschule den Besuch von Stützkursen auch anordnen. Für interessierte Lernende, die die Voraussetzungen im Lehrbetrieb und in der Berufsfachschule erfüllen, bietet die Berufsfachschule auch Freikurse an. Die lernende Person muss den Besuch von Freikursen mit dem Lehrbetrieb absprechen.","Was können Lernende tun, wenn sie in einzelnen Fächern Schwierigkeiten haben? ", zusätzlich zum schulischen Unterricht Stützkurse besuchen ,TPAAufgaben während der Arbeitszeit,0,3.0,"The response provided is not helpful or relevant to the question asked. The question is about what learners can do when they have difficulties in specific subjects, but the answer mentions something about tasks during work hours, which is unrelated. The AI assistant should have provided suggestions for learners to overcome difficulties in specific subjects, such as seeking help from teachers, using additional resources, or joining study groups."
"Probleme in Berufsfachschule oder Lehrbetrieb Bei bedeutenden schulischen Problemen hat die Berufsfachschule unabhängig von der Volljährigkeit der lernenden Person die Pflicht, mit dem Lehrbetrieb (Lehrvertragspartner) Kontakt aufzunehmen. Für alle Beteiligten gilt, dass Probleme aus dem Lehrverhältnis dem zuständigen Berufsbildungsamt zu melden sind.",An wen müssen Probleme aus dem Lehrverhältnis gemeldet werden? , dem zuständigen Berufsbildungsamt ,das Berufsbildungsamt,1,9.0,"The answer provided by the AI is accurate, relevant, and directly addresses the question. It identifies the correct authority (Berufsbildungsamt) to report problems related to the Lehrverhältnis (apprenticeship). The response is concise and to the point, making it easy for the user to understand and act upon."
Absenzen Ab dem 18. Altersjahr unterzeichnen Lernende die Entschuldigungen für ihre Absenzen selbst. Die Berufsbildnerin oder der Berufsbildner bleibt bei Schulversäumnissen je nach Weisung der Berufs-fachschule weiterhin zur Mitunterzeichnung der Entschuldigungen verpflichtet.,Wer bleibt bei Schulversäumnissen zur Mitunterzeichnung der Entschuldigungen verpflichtet? , Die Berufsbildnerin oder der Berufsbildner ,teilsfähig sind (ZGB Art. 13).,0,4.0,"The response provided is not directly related to the question asked. The question is about who is obligated to co-sign excuse notes for school absences, while the response mentions partial legal capacity (ZGB Art. 13) without providing any clear connection or explanation. The answer lacks helpfulness, relevance, and detail in addressing the user's question."
In der Schweiz sind die Arbeitszeiten für Lehrlinge gesetzlich geregelt. Lehrlinge dürfen nicht mehr als fünf Tage pro Woche und nicht mehr als neun Stunden pro Tag arbeiten. Die maximale wöchentliche Arbeitszeit beträgt 45 Stunden.,Was ist die maximale Arbeitszeit pro Woche für Lehrlinge in der Schweiz?,Die maximale wöchentliche Arbeitszeit beträgt 45 Stunden.,41 -45 Stunden pro Woche,1,8.5," The answer provided is somewhat helpful and relevant, as it gives a range for the maximum working hours per week for apprentices in Switzerland. However, it lacks precision and detail, such as specifying the exact number of hours or providing information on potential variations depending on the industry or age of the apprentice. A more detailed answer would have been more helpful."
"Der Lehrbetrieb bildet die lernende Person in der beruflichen Praxis aus. Zu diesem Zweck schliessen beide Parteien vor Beginn der beruflichen Grundbildung einen schriftlichen Lehrvertrag ab, der vom kantonalen Berufsbildungsamt genehmigt werden muss.",Welchen Vertrag schließen die Parteien vor Beginn der beruflichen Grundbildung ab? , einen schriftlichen Lehrvertrag ,Formular fest.,0,4.0,"The response provided by the AI assistant is not very helpful or relevant to the question asked. The user asked about the type of contract that parties sign before starting vocational training, but the AI's response only mentioned ""Formular fest,"" which does not provide any useful information about the contract. The answer lacks detail and clarity, making it difficult for the user to understand the type of contract involved in vocational training."
"In der Schweiz ermöglicht die Berufsmaturitätsschule (BMS) den Zugang zu den Fachhochschulen. Es ist eine Ergänzung zur beruflichen Grundbildung und vermittelt zusätzliches, allgemeinbildendes Wissen. Lehrlinge haben die Möglichkeit, die BMS parallel zur Lehre zu besuchen.",Was ermöglicht die Berufsmaturitätsschule (BMS) in der Schweiz?,In der Schweiz ermöglicht die Berufsmaturitätsschule (BMS) den Zugang zu den Fachhochschulen.,als Vollzeitangebot oder berufsbegleitend als Teilzeitangebot.,0,4.0,"The response provided by the AI assistant is not very helpful or relevant to the question asked. The question is about what the Berufsmaturitätsschule (BMS) in Switzerland enables, but the answer only mentions that it is available as a full-time or part-time offering. The response lacks details about the purpose, benefits, or opportunities provided by the BMS in Switzerland."
"Nachtarbeit 22.00 bis 06.00 Uhr Grundsätzlich nicht möglich, Ausnahmen bewilligt die kantonale Arbeitsmarktbehörde, sofern die Beschäftigung in der Nacht unentbehrlich ist. Art. 12 ArGV 5, Art. 31 Abs. 4 ArG In verschiedenen Berufen gibt es eine spezielle Regelung zur Nachtarbeit, diese finden Sie in der Verordnung des Eidg. Departements für Wirtschaft, Bildung und Forschung (WBF) über die Ausnahmen vom Verbot von Nacht- und Sonntagsarbeit während der beruflichen Grundbildung (SR 822.115.4, Link siehe weiter hinten). Nachtarbeit 23.00 bis 06.00 Uhr Grundsätzlich ausgeschlossen. Ausnahmen bedürfen der Bewilligung. Verschiedene Ausnahmen sind im Anhang zu ArGV 2 aufgelistet. Art. 16 ArG, Art. 17 Abs. 1 ArG Die Arbeitszeit während der Nacht darf sich auf max. 9 Stunden belaufen, sie muss mit Einschluss der Pausen in einem Zeitraum von 10 Stunden liegen. Art. 17a ArG, ArGV 2 Lohnzuschlag für vorübergehende Nachtarbeit (unter 25 Nächte pro Kalenderjahr) von 25%, Zeitzuschlag von 10% bei regelmässiger Nachtarbeit. Art. 17b ArG",Wie lange darf die Arbeitszeit während der Nacht maximal sein? , max. 9 Stunden ,bis zu 10 Stun-den pro Nacht,0,9.0,"The response is helpful and relevant as it provides the maximum duration of night work, which is up to 10 hours per night. However, it could be improved by mentioning the specific country or region this information applies to, as well as any potential exceptions or additional regulations."
"In der Schweiz ist die Anmeldung zur Abschlussprüfung ein wichtiger Schritt für Lehrlinge. Die Anmeldung erfolgt in der Regel durch den Lehrbetrieb und muss innerhalb einer bestimmten Frist vor dem Prüfungstermin erfolgen. Die genauen Fristen und Verfahren können je nach Kanton und Beruf variieren. Es ist wichtig, dass Lehrlinge sicherstellen, dass ihre Anmeldung korrekt und rechtzeitig eingereicht wird.",Wer meldet Lehrlinge in der Schweiz zur Abschlussprüfung an?,Die Anmeldung erfolgt in der Regel durch den Lehrbetrieb.,d.,0,3.0,"The given response 'd.' is not helpful, relevant, or detailed. It does not answer the question about who registers apprentices for the final exam in Switzerland. A better response would provide clear and accurate information on the registration process and the responsible party or organization."
"Was ist ausserdem zu berücksichtigen Berufliche Neuorientierung (www.berufsberatung.ch) Infolge der Lehrvertragsauflösung und vorausgesetzt, dass die gegebenen Umstände es erlauben, sucht die lernende Person einen neuen Ausbildungsbetrieb oder informiert sich über die Möglichkeiten der Ausbildung in einem anderen Beruf. Unfallversicherung Nach der Vertragsauflösung erlischt die obligatorische Unfallversicherung 31 Kalendertage nach dem letzten Arbeitstag (Datum, an welchem die Auflösung des Lehrvertrags in Kraft tritt). Wird innerhalb dieser Frist ein neuer Vertrag abgeschlossen, ist die Deckung beim neuen Arbeitgeber gewährleistet. Andernfalls verpflichtet das Bundesgesetz dazu, sich unverzüglich beim eigenen Krankenversicherer zu melden, um die Unfallversicherung zu aktivieren. Arbeitslosigkeit Besteht die Gefahr von Arbeitslosigkeit, melden sich die Lernenden bei der Arbeitslosenkasse der Wohngemeinde. Auskünfte und Beratung Bei allfälligen Fragen steht das Berufsbildungsamt den Vertragsparteien zur Verfügung.","An wen sollten sich Lernende wenden, wenn sie Gefahr von Arbeitslosigkeit haben? ", bei der Arbeitslosenkasse der Wohngemeinde. ,"bei der Arbeitslosenkasse 
der Wohngemeinde.",1,7.5,"The answer provided by the AI is helpful and relevant to the question, as it suggests contacting the Arbeitslosenkasse and the Wohngemeinde. However, the level of detail is limited, and it could have provided more information on additional resources or steps to take to prevent unemployment."
